State,avg_ret_price,net_sum_cap,net_gen,tot_ret_sales,net_renew_gen,,,
Alabama,11.9,31,"142,921","87,523"," 12,879 ",,,
Arizona,12.74,33,"116,027","90,843"," 18,860 ",,,
Arkansas,9.59,16,"61,542","49,896"," 6,255 ",,,
California,27.04,97,"214,191","245,717"," 108,804 ",,,
Colorado,12.07,20,"58,798","56,843"," 24,289 ",,,
Connecticut,24.37,10,"44,761","27,351"," 1,407 ",,,
Delaware,13.56,3,"4,799","11,374", 210 ,,,
District of Columbia,16.88,0.062,187,"10,143", 88 ,,,
Florida,12.53,72,"266,119","255,095"," 21,792 ",,,
Georgia,11.4,40,"139,805","150,004"," 17,492 ",,,
Idaho,9.51,6,"20,035","26,370"," 13,681 ",,,
Illinois,12.21,46,"185,013","133,227"," 28,267 ",,,
Indiana,11.38,28,"97,013","99,220"," 13,962 ",,,
Iowa,9.34,23,"70,464","54,930"," 46,188 ",,,
Kansas,11.21,19,"57,696","41,258"," 29,992 ",,,
Kentucky,10.07,18,"66,951","74,406"," 4,785 ",,,
Louisiana,8.8,25,"99,623","95,357"," 4,061 ",,,
Maine,19.66,6,"14,655","11,342"," 7,887 ",,,
Maryland,15.04,12,"35,425","59,019"," 3,775 ",,,
Massachusetts,23.94,12,"20,915","49,419"," 4,102 ",,,
Michigan,14.16,32,"124,200","98,991"," 14,890 ",,,
Minnesota,12.35,18,"58,595","64,562"," 19,100 ",,,
Mississippi,10.93,16,"77,337","48,685"," 3,319 ",,,
Missouri,11.06,20,"66,876","77,776"," 8,123 ",,,
Montana,10.83,7,"26,873","15,567"," 15,436 ",,,
Nebraska,9.07,11,"37,229","35,191"," 13,352 ",,,
Nevada,11.47,17,"45,528","40,665"," 18,318 ",,,
New Hampshire,20.61,4,"16,942","10,914"," 2,524 ",,,
New Jersey,16.29,17,"60,175","73,531"," 2,276 ",,,
New Mexico,9.18,12,"39,697","30,296"," 19,627 ",,,
New York,19.66,41,"129,015","140,498"," 38,697 ",,,
North Carolina,11.65,36,"134,965","136,905"," 18,657 ",,,
North Dakota,7.93,10,"42,557","29,770"," 16,824 ",,,
Ohio,11.29,30,"142,747","153,707"," 7,583 ",,,
Oklahoma,9.09,32,"94,069","72,084"," 40,192 ",,,
Oregon,11.11,18,"64,661","59,681"," 39,709 ",,,
Pennsylvania,12.51,49,"241,499","142,147"," 8,562 ",,,
Rhode Island,24.15,2,"9,777","7,414", 978 ,,,
South Carolina,10.9,25,"100,485","83,961"," 7,165 ",,,
South Dakota,10.87,7,"20,872","13,637"," 17,033 ",,,
Tennessee,10.9,21,"76,167","102,962"," 10,500 ",,,
Texas,9.79,168,"566,503","505,431"," 166,530 ",,,
Utah,9.97,10,"35,134","34,688"," 7,340 ",,,
Vermont,18.41,0.864,"2,259","5,459"," 2,254 ",,,
Virginia,10.62,29,"102,699","138,045"," 11,689 ",,,
Washington,10.13,31,"102,398","89,982"," 71,146 ",,,
West Virginia,11.05,15,"50,595","32,991"," 3,557 ",,,
Wisconsin,12.72,17,"65,276","68,291"," 8,031 ",,,
Wyoming,9.14,11,"40,709","17,217"," 10,442 ",,,